"id","created_at","updated_at","app","payout"
"d8750bc3-fb06-4da0-8d94-a128fc254732","2023-12-19 16:52:13.233432+00","2023-12-19 16:52:13.233449+00","BETIKA","3.45"
"ec419854-e717-432b-949e-6b2bb89bc993","2023-12-19 16:51:43.169987+00","2023-12-19 16:51:43.170007+00","BETIKA","1.30"
"a2b9f549-b204-4154-99bc-dabbf77bf66c","2023-12-19 16:51:23.165053+00","2023-12-19 16:51:23.16507+00","BETIKA","10.09"
"0fc8ddac-cc37-49c5-8e15-75191d94862d","2023-12-19 16:50:43.241133+00","2023-12-19 16:50:43.241152+00","BETIKA","2.06"
"ee7646ce-6bdb-4a17-9d7d-966a19b0e76b","2023-12-19 16:50:03.368936+00","2023-12-19 16:50:03.368953+00","BETIKA","2.87"
"10fe7b14-2482-4d9a-a146-1ebc0525c81d","2023-12-19 16:49:33.690871+00","2023-12-19 16:49:33.690887+00","BETIKA","4.53"
"504f10c9-5198-45b1-8077-c3fa97057861","2023-12-19 16:49:04.239674+00","2023-12-19 16:49:04.23969+00","BETIKA","3.84"
"09ca4520-18e8-407b-9aa1-0e10e4df0006","2023-12-19 16:48:33.353571+00","2023-12-19 16:48:33.353591+00","BETIKA","1.33"
"d9b1bf63-3515-4158-b5a2-ecda19607662","2023-12-19 16:48:04.546434+00","2023-12-19 16:48:04.54645+00","BETIKA","2.02"
"add059e6-4f6e-456e-9ca0-560bbe5ebb04","2023-12-19 16:47:44.241502+00","2023-12-19 16:47:44.241518+00","BETIKA","1.24"
"3b010deb-2a29-4d17-be77-4f6076354666","2023-12-19 16:47:03.521611+00","2023-12-19 16:47:03.521628+00","BETIKA","33.77"
"2943fae2-a6b8-495a-9b0c-0195400f4208","2023-12-19 16:46:03.331933+00","2023-12-19 16:46:03.331948+00","BETIKA","3.00"
"9d462677-d6f7-49f6-a1a0-e3f81cb19f11","2023-12-19 16:45:33.274176+00","2023-12-19 16:45:33.274195+00","BETIKA","1.09"
"d9d5eb3a-facb-403a-baa8-418c1bf3117a","2023-12-19 16:45:13.355165+00","2023-12-19 16:45:13.355182+00","BETIKA","1.00"
"4cc200b5-a4a4-478d-b7bc-c46490e7e04a","2023-12-19 16:45:03.487884+00","2023-12-19 16:45:03.487898+00","BETIKA","1.00"
"4056a51d-ae9b-4275-b0bc-15a7f71cdba2","2023-12-19 16:44:44.437566+00","2023-12-19 16:44:44.437587+00","BETIKA","34.18"
"2fc7a111-05a1-4c35-bbff-60d27e9c4b2f","2023-12-19 16:43:44.269962+00","2023-12-19 16:43:44.269977+00","BETIKA","2.16"
"e19f3c97-cb4f-44cc-aca5-b4804d07d631","2023-12-19 16:43:23.693045+00","2023-12-19 16:43:23.693061+00","BETIKA","4.57"
"30eb9ec1-dc07-4d37-b123-7c45c4c540a4","2023-12-19 16:42:43.274162+00","2023-12-19 16:42:43.274179+00","BETIKA","1.56"
"84259eaa-2727-499a-82bb-8f7863080c98","2023-12-19 16:42:23.431747+00","2023-12-19 16:42:23.431769+00","BETIKA","1.46"
"c13fee23-caca-4c3c-8af6-68cb70eabf36","2023-12-19 16:42:03.190685+00","2023-12-19 16:42:03.1907+00","BETIKA","2.61"
"c693f200-7c2d-4c78-9a14-812a4a4af92c","2023-12-19 16:41:23.641364+00","2023-12-19 16:41:23.641382+00","BETIKA","23.74"
"835e268b-5c69-4cd9-bd1d-00fc768b347d","2023-12-19 16:40:33.342557+00","2023-12-19 16:40:33.342573+00","BETIKA","1.48"
"98538959-6aa0-494b-8611-c1138cb04bba","2023-12-19 16:40:13.311081+00","2023-12-19 16:40:13.311098+00","BETIKA","1.40"
"b72c0ffb-6f28-4d1b-b56e-bb36be4c87d3","2023-12-19 16:39:53.200959+00","2023-12-19 16:39:53.200974+00","BETIKA","1.23"
"c2643fdc-907f-4009-bf62-6403ffa55f35","2023-12-19 16:39:33.238818+00","2023-12-19 16:39:33.238834+00","BETIKA","1.24"
